iter	MultiClass
422	0.2644780867
423	0.26447607
424	0.2644751535
425	0.2644694843
426	0.2644664936
427	0.2644629955
428	0.2644567382
429	0.264452593
430	0.2644508573
431	0.2644462068
432	0.264437745
433	0.2644352899
434	0.2644298008
435	0.2644269859
436	0.2644238366
437	0.2644160328
438	0.2644121397
439	0.2644076019
440	0.2644024213
441	0.2643964047
442	0.2643901434
443	0.2643852684
444	0.2643802828
445	0.2643765934
446	0.264373402
447	0.2643708269
448	0.2643675012
449	0.2643605754
450	0.2643583614
451	0.2643513744
452	0.2643469963
453	0.2643413474
454	0.2643351176
455	0.2643309083
456	0.2643273962
457	0.2643211092
458	0.2643148327
459	0.264312995
460	0.2643073716
461	0.2643036276
462	0.2643016107
463	0.2643006848
464	0.2642974376
465	0.2642938319
466	0.264290382
467	0.2642878153
468	0.2642861371
469	0.2642805006
470	0.2642784032
471	0.2642763048
472	0.2642742977
473	0.2642726075
474	0.2642702449
475	0.2642633821
476	0.2642621122
477	0.2642548524
478	0.2642518731
479	0.2642479853
480	0.2642468466
481	0.2642453072
482	0.2642428063
483	0.2642366701
484	0.2642354421
485	0.2642304986
486	0.2642267343
487	0.2642195846
488	0.2642129329
489	0.2642087662
490	0.2642055534
491	0.2642017368
492	0.2641986272
493	0.2641975596
494	0.2641941953
495	0.2641905347
496	0.2641890465
497	0.2641871207
498	0.2641818578
499	0.2641743786
500	0.26417195
501	0.2641594802
502	0.2641570775
503	0.264155298
504	0.2641525118
505	0.2641500834
506	0.2641442859
507	0.2641419336
508	0.2641403801
509	0.2641348056
510	0.2641319065
511	0.2641291077
512	0.2641252608
513	0.264123588
514	0.264121702
515	0.2641183763
516	0.2641153295
517	0.264100173
518	0.2640926472
519	0.2640901286
520	0.2640891769
521	0.2640870801
522	0.264081057
523	0.2640772994
524	0.2640735798
525	0.2640690571
526	0.2640657232
527	0.2640637937
528	0.2640620076
529	0.2640576862
530	0.2640531473
531	0.2640522306
532	0.2640465205
533	0.2640403332
534	0.2640373977
535	0.2640364416
536	0.2640329598
537	0.2640301266
538	0.2640278548
539	0.2640213531
540	0.2640178199
541	0.2640153953
542	0.2640135552
543	0.2640120784
544	0.2640091774
545	0.2640067676
546	0.2640029604
547	0.2639986938
548	0.2639965995
549	0.2639932475
550	0.2639899644
551	0.2639867153
552	0.2639819166
553	0.2639803458
554	0.2639774482
555	0.2639752784
556	0.2639739091
557	0.2639729404
558	0.2639649669
559	0.2639612921
560	0.2639573599
561	0.2639481029
562	0.2639474263
563	0.2639459688
564	0.2639421097
565	0.2639402684
566	0.263939523
567	0.2639359322
568	0.2639344149
569	0.2639293105
570	0.2639231133
571	0.2639192264
572	0.2639152777
573	0.263911381
574	0.2639085306
575	0.2639073806
576	0.2639058707
577	0.263901626
578	0.2638994731
579	0.2638961719
580	0.2638941711
581	0.2638918187
582	0.2638904111
583	0.2638862859
584	0.2638820602
585	0.2638799081
586	0.2638775234
587	0.263875718
588	0.2638735013
589	0.2638700582
590	0.2638680711
591	0.2638625957
592	0.2638594998
593	0.2638555302
594	0.2638524498
595	0.2638496426
596	0.2638466088
597	0.2638415389
598	0.263838091
599	0.2638295508
600	0.2638255137
601	0.2638227198
602	0.2638198756
603	0.2638170558
604	0.2638130572
605	0.2638108295
606	0.2638087398
607	0.2638067801
608	0.2638053385
609	0.2638044054
610	0.2638021948
611	0.2637980952
612	0.2637939355
613	0.2637914165
614	0.263789145
615	0.2637877021
616	0.2637857338
617	0.263783267
618	0.2637797036
619	0.2637736004
620	0.2637714739
621	0.2637688297
622	0.2637662148
623	0.2637638209
624	0.2637608488
625	0.2637592289
626	0.2637568289
627	0.2637505504
628	0.2637455995
629	0.2637439097
630	0.2637429969
631	0.263741267
632	0.2637368937
633	0.2637339044
634	0.2637331354
635	0.2637318183
636	0.2637292327
637	0.2637266578
638	0.2637246598
639	0.2637229181
640	0.2637205686
641	0.2637180025
642	0.2637164919
643	0.2637096215
644	0.2637081677
645	0.2637068329
646	0.2637032099
647	0.2636997657
648	0.2636973342
649	0.2636947822
650	0.263693827
651	0.2636918996
652	0.2636889881
653	0.2636864286
654	0.2636855094
655	0.2636818583
656	0.2636774976
657	0.2636743721
658	0.2636726526
659	0.2636683751
660	0.26366414
661	0.2636605347
662	0.2636588587
663	0.2636570967
664	0.2636546701
665	0.2636513431
666	0.2636483663
667	0.2636463512
668	0.2636435182
669	0.2636384852
670	0.263631848
671	0.2636287283
672	0.2636259655
673	0.2636204604
674	0.2636176034
675	0.2636149689
676	0.2636130425
677	0.2636081732
678	0.2636055319
679	0.2636046828
680	0.263602507
681	0.2636002305
682	0.2635958735
683	0.2635941055
684	0.2635938236
685	0.2635915192
686	0.2635898128
687	0.2635882777
688	0.2635851757
689	0.2635821846
690	0.2635760518
691	0.2635750988
692	0.2635738686
693	0.2635715575
694	0.2635698783
695	0.2635654295
696	0.2635600185
697	0.2635575635
698	0.2635563421
699	0.2635536872
700	0.2635486702
701	0.2635466934
702	0.2635426343
703	0.2635403114
704	0.2635382061
705	0.2635362844
706	0.263533733
707	0.2635315398
708	0.2635271401
709	0.2635222872
710	0.2635189031
711	0.2635146271
712	0.2635134172
713	0.2635115308
714	0.2635068468
715	0.2635044097
716	0.2635038088
717	0.2635023718
718	0.263498938
719	0.2634973532
720	0.2634958542
721	0.2634941594
722	0.2634915321
723	0.2634894118
724	0.2634881079
725	0.2634857119
726	0.2634846005
727	0.2634817375
728	0.2634790341
729	0.2634741919
730	0.2634720571
731	0.2634697656
732	0.2634679963
733	0.2634668623
734	0.2634645866
735	0.2634569446
736	0.2634553086
737	0.2634506228
738	0.263446667
739	0.2634422658
740	0.2634396076
741	0.2634376222
742	0.2634366817
743	0.2634325252
744	0.2634298339
745	0.2634271583
746	0.263423557
747	0.2634214399
748	0.263420116
749	0.2634189954
750	0.2634116271
751	0.2634099587
752	0.2634089777
753	0.2634075094
754	0.2634055843
755	0.2634034908
756	0.2634011317
757	0.2633978192
758	0.2633956179
759	0.2633943627
760	0.2633924613
761	0.2633905705
762	0.2633888115
763	0.2633871193
764	0.2633822969
765	0.2633775575
766	0.263374503
767	0.2633715037
768	0.2633681976
769	0.2633626949
770	0.2633605287
771	0.2633576218
772	0.2633551931
773	0.263353375
774	0.2633515897
775	0.2633510274
776	0.2633486562
777	0.2633464593
778	0.263344048
779	0.2633432533
780	0.2633409733
781	0.2633367041
782	0.2633356008
783	0.2633338564
784	0.2633302397
785	0.2633279233
786	0.2633265652
787	0.2633250699
788	0.2633223948
789	0.2633199457
790	0.263317761
791	0.2633149821
792	0.2633134437
793	0.2633119346
794	0.2633093836
795	0.2633068892
796	0.2633051272
797	0.2633009141
798	0.2632985044
799	0.2632964073
800	0.2632945202
801	0.2632928016
802	0.2632915153
803	0.2632890371
804	0.2632874333
805	0.2632849011
806	0.2632829948
807	0.2632817107
808	0.2632798466
809	0.263277138
810	0.2632756889
811	0.2632733073
812	0.2632704761
813	0.2632670897
814	0.263265233
815	0.2632640834
816	0.2632621141
817	0.2632604078
818	0.2632586855
819	0.2632577061
820	0.2632528679
821	0.2632512624
822	0.2632497505
823	0.263248463
824	0.2632473853
825	0.2632456264
826	0.2632434778
827	0.2632419542
828	0.2632393839
829	0.2632382622
830	0.2632368026
831	0.2632364291
832	0.2632341232
833	0.2632290708
834	0.2632257334
835	0.2632235691
836	0.2632218644
837	0.2632197619
838	0.2632142851
839	0.2632132907
840	0.2632099808
841	0.2632064353
842	0.2632055171
843	0.2632013027
844	0.2631987827
845	0.2631960215
846	0.2631938514
847	0.263192244
848	0.2631903715
849	0.2631872528
850	0.263186361
851	0.2631853506
852	0.2631844594
853	0.2631834529
854	0.263182714
855	0.263180547
856	0.26317873
857	0.2631770601
858	0.2631760264
859	0.2631744215
860	0.2631733274
861	0.2631729904
862	0.2631686702
863	0.2631665937
864	0.2631646043
865	0.2631633318
866	0.2631599644
867	0.263157313
868	0.2631569902
869	0.2631551941
870	0.2631537566
871	0.2631502377
872	0.2631464291
873	0.2631423654
874	0.2631387417
875	0.2631372364
876	0.2631360727
877	0.2631350679
878	0.2631336478
879	0.2631319834
880	0.2631309107
881	0.2631298817
882	0.2631289265
883	0.2631280932
884	0.2631273264
885	0.2631267795
886	0.2631242264
887	0.263122349
888	0.2631189822
889	0.2631161488
890	0.2631149541
891	0.2631103507
892	0.2631089148
893	0.2631075722
894	0.2631063288
895	0.263102384
896	0.2630995397
897	0.2630984314
898	0.2630962499
899	0.2630948661
900	0.2630927763
901	0.263090579
902	0.2630897433
903	0.2630882813
904	0.2630869938
905	0.2630851019
906	0.26308394
907	0.2630808509
908	0.263079438
909	0.2630781655
910	0.2630767686
911	0.2630761933
912	0.2630748701
913	0.2630713031
914	0.2630705008
915	0.2630697851
916	0.2630688641
917	0.2630661681
918	0.2630656181
919	0.2630637232
920	0.2630630404
921	0.2630593513
922	0.2630584835
923	0.2630561442
924	0.2630536754
925	0.2630517199
926	0.2630490396
927	0.2630470607
928	0.2630456911
929	0.263044594
930	0.2630414556
931	0.2630402147
932	0.2630387415
933	0.2630324708
934	0.2630307843
935	0.263029252
936	0.2630273341
937	0.2630263963
938	0.263024313
939	0.2630217771
940	0.2630207891
941	0.2630199272
942	0.2630192217
943	0.2630168483
944	0.2630149451
945	0.2630136269
946	0.2630113578
947	0.2630091731
948	0.2630078116
949	0.2630060055
950	0.263004827
951	0.2630030145
952	0.2630005666
953	0.2629968087
954	0.2629932873
955	0.2629909436
956	0.2629894286
957	0.2629876645
958	0.2629867851
959	0.2629847067
960	0.2629817008
961	0.262980731
962	0.2629767869
963	0.2629735074
964	0.262972703
965	0.2629705485
966	0.2629699563
967	0.2629680789
968	0.2629669959
969	0.2629664405
970	0.2629630962
971	0.2629603008
972	0.2629594948
973	0.2629576174
974	0.2629553661
975	0.2629540775
976	0.2629532889
977	0.262950942
978	0.2629500102
979	0.2629484788
980	0.2629479185
981	0.2629467565
982	0.2629444024
983	0.2629426421
984	0.2629396874
985	0.2629382047
986	0.2629363196
987	0.2629348545
988	0.2629332401
989	0.2629323979
990	0.2629308321
991	0.2629285584
992	0.2629268461
993	0.2629260439
994	0.2629245027
995	0.2629233291
996	0.2629221455
997	0.2629208972
998	0.2629199257
999	0.2629188315
1000	0.2629182748
1001	0.262916995
1002	0.2629162326
1003	0.2629144127
