iter	Passed	Remaining
664	18059	14529
665	18086	14501
666	18111	14472
667	18138	14445
668	18164	14417
669	18191	14389
670	18217	14362
671	18244	14334
672	18267	14304
673	18295	14278
674	18320	14249
675	18346	14221
676	18372	14193
677	18399	14166
678	18427	14139
679	18453	14111
680	18478	14082
681	18503	14054
682	18530	14026
683	18555	13998
684	18581	13970
685	18606	13941
686	18629	13911
687	18654	13882
688	18681	13854
689	18706	13826
690	18733	13799
691	18758	13770
692	18785	13743
693	18810	13714
694	18835	13686
695	18860	13657
696	18886	13629
697	18909	13599
698	18936	13572
699	18962	13544
700	18988	13516
701	19013	13488
702	19042	13462
703	19069	13435
704	19095	13407
705	19124	13381
706	19154	13356
707	19184	13331
708	19215	13306
709	19243	13280
710	19272	13255
711	19302	13229
712	19331	13204
713	19357	13176
714	19391	13153
715	19421	13128
716	19449	13102
717	19480	13077
718	19510	13051
719	19543	13028
720	19571	13002
721	19611	12983
722	19648	12963
723	19683	12940
724	19713	12915
725	19739	12887
726	19769	12862
727	19800	12837
728	19826	12809
729	19854	12783
730	19879	12754
731	19909	12728
732	19934	12700
733	19959	12671
734	19985	12643
735	20012	12616
736	20037	12587
737	20065	12561
738	20094	12535
739	20120	12507
740	20147	12479
741	20172	12451
742	20196	12422
743	20223	12395
744	20248	12366
745	20277	12340
746	20302	12312
747	20329	12284
748	20354	12256
749	20379	12227
750	20406	12200
751	20432	12172
752	20462	12147
753	20489	12119
754	20520	12095
755	20553	12071
756	20584	12045
757	20615	12021
758	20646	11996
759	20675	11969
760	20701	11942
761	20726	11913
762	20750	11884
763	20778	11858
764	20805	11830
765	20832	11803
766	20857	11774
767	20884	11747
768	20909	11719
769	20936	11692
770	20963	11664
771	20992	11638
772	21019	11611
773	21045	11582
774	21073	11556
775	21098	11527
776	21122	11499
777	21148	11471
778	21176	11444
779	21201	11416
780	21227	11388
781	21252	11359
782	21275	11330
783	21301	11302
784	21326	11274
785	21351	11246
786	21374	11217
787	21402	11189
788	21425	11160
789	21450	11132
790	21474	11103
791	21497	11074
792	21524	11047
793	21547	11017
794	21574	10990
795	21602	10964
796	21633	10938
797	21662	10912
798	21697	10889
799	21726	10863
800	21755	10836
801	21784	10810
802	21814	10785
803	21844	10759
804	21874	10733
805	21905	10708
806	21932	10681
807	21957	10652
808	21985	10625
809	22012	10598
810	22035	10569
811	22061	10541
812	22084	10512
813	22112	10485
814	22138	10458
815	22163	10429
816	22189	10402
817	22216	10374
818	22243	10347
819	22266	10318
820	22293	10291
821	22319	10263
822	22347	10237
823	22374	10209
824	22398	10180
825	22422	10152
826	22445	10123
827	22469	10094
828	22499	10069
829	22524	10040
830	22550	10013
831	22576	9985
832	22606	9960
833	22634	9933
834	22661	9905
835	22686	9877
836	22710	9849
837	22736	9821
838	22764	9794
839	22787	9766
840	22813	9738
841	22839	9710
842	22864	9682
843	22889	9654
844	22920	9629
845	22946	9601
846	22971	9573
847	22998	9546
848	23024	9518
849	23047	9490
850	23073	9462
851	23099	9435
852	23125	9407
853	23148	9378
854	23174	9350
855	23198	9322
856	23222	9294
857	23247	9266
858	23269	9237
859	23295	9209
860	23323	9183
861	23350	9156
862	23380	9130
863	23412	9104
864	23444	9079
865	23475	9054
866	23506	9028
867	23540	9003
868	23573	8979
869	23600	8951
870	23628	8925
871	23656	8898
872	23684	8871
873	23711	8844
874	23740	8817
875	23763	8789
876	23789	8761
877	23813	8733
878	23837	8705
879	23863	8677
880	23887	8649
881	23914	8622
882	23940	8594
883	23966	8567
884	23991	8539
885	24014	8510
886	24041	8483
887	24070	8457
888	24097	8430
889	24124	8403
890	24151	8375
891	24181	8349
892	24208	8322
893	24240	8296
894	24265	8269
895	24291	8241
896	24316	8213
897	24341	8186
898	24367	8158
899	24390	8130
900	24415	8102
901	24443	8075
902	24468	8047
903	24493	8019
904	24514	7990
905	24540	7963
906	24563	7935
907	24589	7907
908	24615	7880
909	24641	7852
910	24672	7826
911	24699	7799
912	24731	7774
913	24770	7750
914	24806	7726
915	24843	7702
916	24874	7676
917	24905	7650
918	24942	7626
919	24973	7600
920	25002	7574
921	25033	7547
922	25060	7520
923	25088	7493
924	25115	7466
925	25149	7441
926	25180	7415
927	25211	7389
928	25239	7362
929	25266	7335
930	25298	7309
931	25327	7282
932	25357	7256
933	25392	7231
934	25425	7206
935	25459	7180
936	25490	7154
937	25519	7128
938	25549	7101
939	25581	7075
940	25608	7048
941	25634	7021
942	25659	6993
943	25686	6965
944	25712	6938
945	25736	6910
946	25761	6882
947	25789	6855
948	25813	6827
949	25837	6799
950	25877	6775
951	25901	6747
952	25928	6720
953	25955	6692
954	25979	6664
955	26003	6636
956	26030	6609
957	26059	6582
958	26084	6555
959	26110	6527
960	26139	6500
961	26166	6473
962	26195	6446
963	26225	6420
964	26252	6393
965	26278	6365
966	26302	6337
967	26328	6310
968	26354	6282
969	26377	6254
970	26401	6226
971	26428	6199
972	26451	6171
973	26475	6143
974	26498	6115
975	26526	6088
976	26552	6060
977	26576	6032
978	26602	6005
979	26624	5976
980	26649	5949
981	26677	5922
982	26700	5894
983	26725	5866
984	26751	5839
985	26776	5811
986	26805	5784
987	26830	5757
988	26855	5729
989	26879	5701
990	26903	5673
991	26928	5646
992	26950	5618
993	26974	5590
994	26998	5562
995	27021	5534
996	27047	5507
997	27071	5479
998	27097	5452
999	27123	5424
1000	27151	5397
1001	27177	5370
1002	27204	5343
1003	27233	5316
1004	27259	5289
1005	27284	5261
1006	27312	5234
1007	27336	5206
1008	27361	5179
1009	27387	5152
1010	27414	5125
1011	27440	5097
1012	27464	5069
1013	27491	5042
1014	27519	5015
1015	27549	4989
1016	27577	4962
1017	27606	4935
1018	27634	4908
1019	27664	4882
1020	27695	4855
1021	27723	4828
1022	27751	4801
1023	27777	4774
1024	27802	4746
1025	27827	4719
1026	27855	4692
1027	27881	4665
1028	27906	4637
1029	27934	4610
1030	27958	4582
1031	27983	4555
1032	28007	4527
1033	28030	4500
1034	28057	4472
1035	28083	4445
1036	28106	4417
1037	28134	4390
1038	28162	4363
1039	28187	4336
1040	28213	4309
1041	28239	4281
1042	28267	4255
1043	28295	4228
1044	28320	4200
1045	28345	4173
1046	28373	4146
1047	28400	4119
1048	28426	4091
1049	28451	4064
1050	28477	4037
1051	28504	4010
1052	28530	3982
1053	28555	3955
1054	28581	3928
1055	28605	3900
1056	28632	3873
1057	28658	3846
1058	28684	3819
1059	28709	3791
1060	28733	3764
1061	28756	3736
1062	28783	3709
1063	28808	3682
1064	28835	3655
1065	28859	3627
1066	28884	3600
1067	28911	3573
1068	28936	3546
1069	28960	3518
1070	28984	3491
1071	29010	3463
1072	29035	3436
1073	29059	3409
1074	29083	3381
1075	29107	3354
1076	29132	3327
1077	29162	3300
1078	29188	3273
1079	29213	3245
1080	29240	3218
1081	29265	3191
1082	29291	3164
1083	29316	3137
1084	29341	3109
1085	29365	3082
1086	29391	3055
1087	29417	3028
1088	29445	3001
1089	29472	2974
1090	29500	2947
1091	29525	2920
1092	29549	2892
1093	29575	2865
1094	29607	2839
1095	29631	2811
1096	29658	2784
1097	29683	2757
1098	29708	2730
1099	29733	2703
1100	29760	2676
1101	29787	2648
1102	29814	2621
1103	29840	2594
1104	29866	2567
1105	29893	2540
1106	29917	2513
1107	29943	2486
1108	29968	2459
1109	29992	2431
1110	30018	2404
1111	30044	2377
1112	30069	2350
1113	30095	2323
1114	30121	2296
1115	30148	2269
1116	30176	2242
1117	30201	2215
1118	30228	2188
1119	30253	2160
1120	30279	2133
1121	30308	2106
1122	30333	2079
1123	30361	2052
1124	30388	2025
1125	30418	1999
1126	30445	1972
1127	30471	1944
1128	30499	1918
1129	30528	1891
1130	30557	1864
1131	30586	1837
1132	30616	1810
1133	30646	1783
1134	30673	1756
1135	30701	1729
1136	30732	1702
1137	30766	1676
1138	30793	1649
1139	30820	1622
1140	30856	1595
1141	30891	1568
1142	30921	1541
1143	30953	1515
1144	30983	1488
1145	31014	1461
1146	31043	1434
1147	31071	1407
1148	31099	1380
1149	31127	1353
1150	31154	1326
1151	31180	1299
1152	31206	1272
1153	31229	1244
1154	31254	1217
1155	31279	1190
1156	31306	1163
1157	31330	1136
1158	31356	1109
1159	31382	1082
1160	31406	1054
1161	31433	1027
1162	31461	1000
1163	31485	973
1164	31511	946
1165	31534	919
1166	31562	892
1167	31588	865
1168	31614	838
1169	31639	811
1170	31663	784
1171	31689	757
1172	31716	730
1173	31743	703
1174	31769	675
1175	31794	648
1176	31818	621
1177	31844	594
1178	31869	567
1179	31895	540
1180	31922	513
1181	31948	486
1182	31976	459
1183	32003	432
1184	32030	405
1185	32057	378
1186	32082	351
1187	32106	324
1188	32133	297
1189	32157	270
1190	32184	243
1191	32211	216
1192	32238	189
1193	32267	162
1194	32291	135
1195	32316	108
1196	32343	81
1197	32370	54
1198	32395	27
1199	32420	0
